category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
whole program	app_json_hash	1256.491	1260.898	1230.879	1237.947	-2.0
whole program	app_robot	1151.777	1160.993	1122.601	1137.056	-2.5
whole program	app_tak	1152.879	1155.829	1152.589	1163.455	-0.0
whole program	bm_ao_render	fail				
whole program	bm_fib	5411.964	5448.954	5404.127	5447.451	-0.1
whole program	bm_mandel_term	fail				
data structures	bm_so_lists	1025.334	1025.911	959.218	965.137	-6.4
instruction loop	bm_so_mandelbrot	1397.537	1415.405	1400.087	1419.409	+0.2
calls	call_args	883.566	888.959	891.740	895.827	+0.9
calls	call_block_yield	1054.616	1057.163	1031.976	1032.258	-2.1
calls	call_fiber	969.314	979.011	969.585	979.530	+0.0
calls	call_kwargs	880.190	886.559	863.702	865.209	-1.9
data structures	ds_array	917.886	919.257	888.286	889.389	-3.2
data structures	ds_hash	247.329	249.671	240.913	242.746	-2.6
data structures	ds_string	467.119	468.378	455.092	458.717	-2.6
memory	gc_churn	382.989	387.270	376.853	380.497	-1.6
instruction loop	loop_if_branch	880.419	880.801	865.619	867.970	-1.7
instruction loop	loop_times	862.400	869.644	864.401	865.874	+0.2
instruction loop	loop_while_add	839.705	849.647	850.945	859.962	+1.3
memory	mem_retained	742.367	751.754	717.044	734.050	-3.4
memory	mem_short_lived	959.094	966.994	954.123	960.552	-0.5
whole program	vm_optimization_bench	11129.282	11228.356	11142.844	11185.503	+0.1
instruction loop	vmo_arith	3726.773	3767.930	3749.838	3767.284	+0.6
calls	vmo_calls	2922.084	2923.393	2850.334	2884.713	-2.5
instruction loop	vmo_dispatch	2178.353	2228.495	2182.948	2220.266	+0.2
data structures	vmo_index	560.703	563.721	545.675	552.759	-2.7
data structures	vmo_objects	629.385	632.531	628.771	641.736	-0.1
