category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
whole program	app_json_hash	1254.911	1261.831	1254.559	1268.872	-0.0
whole program	app_robot	1130.260	1137.571	1158.089	1161.581	+2.5
whole program	app_tak	1129.494	1135.656	1141.673	1151.297	+1.1
whole program	bm_ao_render	fail				
whole program	bm_fib	5380.324	5413.061	5380.821	5390.433	+0.0
whole program	bm_mandel_term	fail				
data structures	bm_so_lists	3698.602	3715.124	998.880	1003.327	-73.0
instruction loop	bm_so_mandelbrot	1374.387	1376.493	1376.841	1382.937	+0.2
calls	call_args	872.262	873.502	880.230	883.270	+0.9
calls	call_block_yield	1018.863	1019.383	1006.425	1013.757	-1.2
calls	call_fiber	949.856	957.571	945.940	957.034	-0.4
calls	call_kwargs	944.432	950.577	932.540	939.019	-1.3
data structures	ds_array	893.799	901.582	894.267	912.138	+0.1
data structures	ds_hash	790.951	799.122	809.327	814.279	+2.3
data structures	ds_string	457.743	459.556	460.588	462.574	+0.6
memory	gc_churn	375.684	377.894	376.154	384.678	+0.1
instruction loop	loop_if_branch	857.785	866.242	861.543	863.980	+0.4
instruction loop	loop_times	869.732	877.164	862.729	864.488	-0.8
instruction loop	loop_while_add	834.016	847.586	835.923	844.783	+0.2
memory	mem_retained	716.952	727.946	716.401	719.306	-0.1
memory	mem_short_lived	943.917	949.327	951.786	955.992	+0.8
instruction loop	vm_optimization_bench	17587.937	17760.817	17649.991	17724.284	+0.4
