category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
whole program	app_json_hash	1449.023	1513.192	1490.139	1559.161	+2.8
whole program	app_robot	1363.602	1390.419	1272.064	1374.010	-6.7
whole program	app_tak	1248.102	1320.888	1266.889	1355.770	+1.5
whole program	bm_ao_render	fail				
whole program	bm_fib	5535.530	6063.687	5421.071	6033.284	-2.1
whole program	bm_mandel_term	fail				
data structures	bm_so_lists	999.793	1009.679	1022.194	1031.111	+2.2
instruction loop	bm_so_mandelbrot	1380.930	1391.109	1371.672	1380.002	-0.7
calls	call_args	873.443	893.860	886.421	888.449	+1.5
calls	call_block_yield	1003.848	1014.785	1028.176	1033.870	+2.4
calls	call_fiber	957.371	962.479	955.005	964.873	-0.2
calls	call_kwargs	928.660	933.594	921.719	937.021	-0.7
data structures	ds_array	891.847	898.688	898.001	899.939	+0.7
data structures	ds_hash	804.544	807.252	801.470	813.416	-0.4
data structures	ds_string	457.703	458.916	448.625	450.976	-2.0
memory	gc_churn	374.288	382.712	366.439	372.972	-2.1
instruction loop	loop_if_branch	854.367	858.331	845.170	853.824	-1.1
instruction loop	loop_times	865.363	875.218	854.409	860.159	-1.3
instruction loop	loop_while_add	843.666	848.268	836.657	840.108	-0.8
memory	mem_retained	727.754	732.165	728.968	733.325	+0.2
memory	mem_short_lived	955.391	961.574	947.576	956.049	-0.8
instruction loop	vm_optimization_bench	17608.850	17785.665	17630.919	17775.089	+0.1
