category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
whole program	app_json_hash	1236.362	1246.425	1197.581	1205.364	-3.1
whole program	app_robot	1096.042	1105.547	1106.305	1112.947	+0.9
whole program	app_tak	1087.498	1100.384	1108.944	1119.044	+2.0
whole program	bm_ao_render	fail				
whole program	bm_fib	5204.800	5240.974	5299.887	5333.349	+1.8
whole program	bm_mandel_term	fail				
data structures	bm_so_lists	1000.484	1008.309	1000.375	1013.925	-0.0
instruction loop	bm_so_mandelbrot	1366.161	1376.617	1543.592	1556.636	+13.0
calls	call_args	839.260	854.062	846.057	850.453	+0.8
calls	call_block_yield	993.097	994.128	970.441	975.872	-2.3
calls	call_fiber	925.219	930.981	920.691	933.317	-0.5
calls	call_kwargs	934.111	941.651	789.316	811.551	-15.5
data structures	ds_array	889.752	891.585	892.401	896.156	+0.3
data structures	ds_hash	636.004	638.005	235.890	238.097	-62.9
data structures	ds_string	437.283	440.299	440.541	441.749	+0.7
memory	gc_churn	363.596	367.658	368.369	370.454	+1.3
instruction loop	loop_if_branch	839.978	843.552	859.334	860.760	+2.3
instruction loop	loop_times	813.245	833.343	828.708	830.352	+1.9
instruction loop	loop_while_add	813.640	830.656	867.232	871.045	+6.6
memory	mem_retained	693.082	704.154	694.052	701.243	+0.1
memory	mem_short_lived	913.491	919.626	910.993	920.491	-0.3
instruction loop	vm_optimization_bench	14752.175	14910.212	10761.756	10859.101	-27.0
