category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
whole program	app_json_hash	1264.470	1274.239	1262.890	1274.355	-0.1
whole program	app_robot	1165.277	1171.759	1180.863	1192.423	+1.3
whole program	app_tak	1173.069	1183.427	1152.288	1157.305	-1.8
whole program	bm_ao_render	fail				
whole program	bm_fib	5527.253	5563.405	5414.178	5468.108	-2.0
whole program	bm_mandel_term	fail				
data structures	bm_so_lists	951.751	961.498	975.451	978.689	+2.5
instruction loop	bm_so_mandelbrot	1559.276	1563.814	1395.349	1410.215	-10.5
calls	call_args	921.130	922.123	876.723	882.386	-4.8
calls	call_block_yield	1054.350	1061.469	1033.079	1038.901	-2.0
calls	call_fiber	982.958	989.395	1030.956	1039.055	+4.9
calls	call_kwargs	902.229	913.752	839.681	846.692	-6.9
data structures	ds_array	860.909	871.486	882.205	888.768	+2.5
data structures	ds_hash	228.950	230.555	232.239	234.159	+1.4
data structures	ds_string	452.004	457.458	445.703	450.859	-1.4
memory	gc_churn	389.696	393.375	381.601	386.206	-2.1
instruction loop	loop_if_branch	871.737	876.055	908.444	912.187	+4.2
instruction loop	loop_times	906.534	919.145	865.716	874.123	-4.5
instruction loop	loop_while_add	888.841	893.926	845.896	850.603	-4.8
memory	mem_retained	737.933	740.279	736.055	743.452	-0.3
memory	mem_short_lived	1004.619	1014.512	1022.725	1030.413	+1.8
whole program	vm_optimization_bench	11311.287	11375.448	11145.790	11270.399	-1.5
instruction loop	vmo_arith	3811.175	3843.892	3730.413	3781.003	-2.1
calls	vmo_calls	2877.850	2944.246	2958.983	2983.750	+2.8
instruction loop	vmo_dispatch	2262.072	2275.188	2190.341	2218.527	-3.2
data structures	vmo_index	507.399	515.070	542.427	550.110	+6.9
data structures	vmo_objects	635.458	652.895	618.768	632.064	-2.6
